"subscription_length","vehicle_age","customer_age","region_density","airbags","displacement","cylinder","turning_radius","length","width","gross_weight","ncap_rating"
5.3,0.4,53,34738,2,796,3,4.6,3445,1515,1185,0
4.6,0.6,36,27003,2,796,3,4.6,3445,1515,1185,0
10.3,3.6,46,27003,1,1196,4,4.5,3675,1475,1510,0
2.8,1,53,27003,2,1197,4,4.8,3845,1735,1335,2
1.2,1.2,36,73430,6,1493,4,5.2,4300,1790,1720,3
5,0,64,17804,2,796,3,4.6,3445,1515,1185,0
11.1,1.4,41,8794,2,1197,4,4.8,3845,1735,1335,2
11.2,2,56,13051,6,1493,4,5.2,4300,1790,1720,3
0.1,1,48,5410,2,796,3,4.6,3445,1515,1185,0
5,0.2,44,17804,2,998,3,4.7,3655,1620,1340,2
3.9,0.2,37,8794,2,1197,4,4.8,3845,1735,1335,2
9.5,2.2,52,8794,2,1197,4,4.8,3845,1735,1335,2
10.6,1.4,46,5410,6,1493,4,5.2,4300,1790,1720,3
1.2,0.2,53,4076,2,796,3,4.6,3445,1515,1185,0
5.9,0.4,38,16206,2,796,3,4.6,3445,1515,1185,0
5.7,1.6,45,290,2,796,3,4.6,3445,1515,1185,0
10.3,2.4,41,5410,2,1197,4,4.8,3845,1735,1335,2
10.8,2.6,40,7788,2,1197,4,4.8,3845,1735,1335,2
6,3.6,35,27003,2,999,3,5,3731,1579,1155,2
11.3,3.8,48,27742,6,1493,4,5.2,4300,1790,1720,3
0.7,3.2,50,8794,2,1197,4,4.8,3845,1735,1335,2
0.9,2.4,35,290,6,1493,4,5.2,4300,1790,1720,3
1.4,0.2,39,4076,2,796,3,4.6,3445,1515,1185,0
4.9,1.2,44,4076,2,796,3,4.6,3445,1515,1185,0
4.6,0.2,41,4076,2,796,3,4.6,3445,1515,1185,0
2.4,0.2,54,16206,2,796,3,4.6,3445,1515,1185,0
5.4,1.8,45,8794,2,1197,4,4.8,3845,1735,1335,2
11.4,0.6,60,8794,6,1493,4,5.2,4300,1790,1720,3
8.1,1.4,47,7788,1,1196,4,4.5,3675,1475,1510,0
3.8,2.6,49,34738,2,1197,4,4.8,3845,1735,1335,2
10.1,2,48,34791,2,1197,4,4.8,3845,1735,1335,2
11.7,1,50,16733,2,1197,4,4.8,3995,1735,1335,2
11.4,1.4,48,8794,2,1197,4,4.8,3845,1735,1335,2
12.4,2,62,8794,6,1493,4,5.2,4300,1790,1720,3
7.9,0,39,8794,2,1498,4,4.9,3995,1695,1051,4
10.2,0.6,52,4076,2,998,3,4.7,3655,1620,1340,2
2.2,0,43,27003,2,796,3,4.6,3445,1515,1185,0
10.2,1.8,59,8794,2,998,3,4.7,3655,1620,1340,2
0.8,0.8,38,65567,2,796,3,4.6,3445,1515,1185,0
11.6,2.4,49,8794,2,999,3,5,3731,1579,1155,2
6.2,0.2,47,4076,2,796,3,4.6,3445,1515,1185,0
0.9,0.2,43,17804,6,1493,4,5.2,4300,1790,1720,3
2.9,0.6,40,17804,2,796,3,4.6,3445,1515,1185,0
6,1.6,44,34738,2,998,3,4.7,3655,1620,1340,2
11.3,1.8,46,8794,6,1493,4,5.2,4300,1790,1720,3
10.4,4.2,52,8794,2,1497,4,5,3990,1755,1490,5
7.5,2,47,8794,2,1197,4,4.8,3845,1735,1335,2
5.5,0.6,53,27003,2,796,3,4.6,3445,1515,1185,0
12.1,1.6,64,27003,6,1493,4,5.2,4300,1790,1720,3
5.9,0.2,58,5410,2,1197,4,4.8,3845,1735,1335,2
5,1.2,35,27003,6,1493,4,5.2,4300,1790,1720,3
12.5,2,57,8794,6,1493,4,5.2,4300,1790,1720,3
4.2,1,53,34738,2,796,3,4.6,3445,1515,1185,0
0.8,1.6,41,5410,6,1493,4,5.2,4300,1790,1720,3
11.7,2.4,35,27003,6,1493,4,5.2,4300,1790,1720,3
0.8,0,39,4076,2,796,3,4.6,3445,1515,1185,0
0.4,0,60,17804,2,796,3,4.6,3445,1515,1185,0
4.4,0.8,41,73430,2,796,3,4.6,3445,1515,1185,0
4.2,1.4,35,17804,6,1493,4,5.2,4300,1790,1720,3
8.9,0.4,37,27003,2,796,3,4.6,3445,1515,1185,0
11,2.4,47,4076,2,1197,4,4.8,3845,1735,1335,2
9.2,0.6,61,8794,2,796,3,4.6,3445,1515,1185,0
2.8,0.4,44,34791,6,1493,4,5.2,4300,1790,1720,3
5.7,0.6,54,4076,2,796,3,4.6,3445,1515,1185,0
10.8,0.8,54,4076,2,1197,4,4.8,3845,1735,1335,2
11.9,2.2,50,27003,2,1197,4,4.8,3845,1735,1335,2
0.4,0,47,6108,2,796,3,4.6,3445,1515,1185,0
6.4,0.2,49,5410,6,1493,4,5.2,4300,1790,1720,3
11.3,2.6,58,7788,2,1197,4,4.8,3845,1735,1335,2
11.3,2,42,8794,6,1493,4,5.2,4300,1790,1720,3
0.7,0.2,63,4076,2,796,3,4.6,3445,1515,1185,0
11.7,1.4,37,8794,6,1493,4,5.2,4300,1790,1720,3
1,0.6,42,4990,2,796,3,4.6,3445,1515,1185,0
7.2,1.2,44,7788,6,1197,4,4.85,3990,1745,1410,0
11.3,1.4,50,8794,2,1498,4,4.9,3995,1695,1051,4
2.8,1.4,44,4076,6,1493,4,5.2,4300,1790,1720,3
12.1,2.2,39,27003,6,1493,4,5.2,4300,1790,1720,3
10.2,2.6,39,34791,6,1493,4,5.2,4300,1790,1720,3
12.2,0.8,41,8794,6,1493,4,5.2,4300,1790,1720,3
12,2,52,8794,2,1197,4,4.8,3845,1735,1335,2
4.7,0.4,45,3264,2,796,3,4.6,3445,1515,1185,0
6.8,0,47,34738,2,796,3,4.6,3445,1515,1185,0
1.4,0.8,43,4076,2,796,3,4.6,3445,1515,1185,0
6.1,1,50,4990,2,796,3,4.6,3445,1515,1185,0
11.5,1.6,49,65567,2,1197,4,4.8,3845,1735,1335,2
11.3,0.2,42,73430,2,1498,4,4.9,3995,1695,1051,4
1.9,0.4,58,27003,6,1493,4,5.2,4300,1790,1720,3
0.4,0,50,4076,2,796,3,4.6,3445,1515,1185,0
5.1,1,47,73430,6,1197,4,4.85,3990,1745,1410,0
12.3,1.4,38,8794,2,1197,4,4.8,3845,1735,1335,2
1,0.6,35,6112,2,796,3,4.6,3445,1515,1185,0
2.1,0.8,42,6108,2,796,3,4.6,3445,1515,1185,0
10.2,1.4,43,7788,2,998,3,4.7,3655,1620,1340,2
11.5,1.4,36,7788,2,999,3,5,3731,1579,1155,2
0.1,0,42,4076,2,796,3,4.6,3445,1515,1185,0
1,2,37,17804,6,1197,4,4.85,3990,1745,1410,0
2.3,0.8,39,5410,2,999,3,5,3731,1579,1155,2
12.3,2.4,52,8794,2,999,3,5,3731,1579,1155,2
1.1,1.4,45,4076,2,998,3,4.7,3655,1620,1340,2
4.6,2.6,61,34738,2,1197,4,4.8,3845,1735,1335,2
5.1,2.4,49,73430,6,1197,4,4.85,3990,1745,1410,0
0.9,2.4,37,27003,6,1197,4,4.85,3990,1745,1410,0
5.7,0.8,45,34791,2,1497,4,5,3990,1755,1490,5
0.4,0.8,49,34738,2,1497,4,5,3990,1755,1490,5
11.7,1.4,45,34791,6,1493,4,5.2,4300,1790,1720,3
3.9,0.2,44,4076,1,1196,4,4.5,3675,1475,1510,0
11.1,2.4,44,17804,2,1197,4,4.8,3845,1735,1335,2
6.5,0.2,43,4076,2,796,3,4.6,3445,1515,1185,0
11.9,0.8,61,8794,6,1493,4,5.2,4300,1790,1720,3
5.2,2.2,52,73430,2,1197,4,4.8,3845,1735,1335,2
8.5,2.4,40,34738,2,999,3,5,3731,1579,1155,2
5.7,2.6,47,73430,2,1197,4,4.8,3845,1735,1335,2
0.8,3.2,50,8794,1,1196,4,4.5,3675,1475,1510,0
6.7,1.6,52,34738,2,796,3,4.6,3445,1515,1185,0
10.7,1.8,37,27742,2,1197,4,4.8,3845,1735,1335,2
0.8,1.8,40,27003,6,1197,4,4.85,3990,1745,1410,0
11,1.2,44,27003,2,1497,4,5,3990,1755,1490,5
5.8,0.6,49,73430,2,796,3,4.6,3445,1515,1185,0
9.5,2,45,8794,6,1493,4,5.2,4300,1790,1720,3
11.6,2.2,57,8794,2,1197,4,4.8,3845,1735,1335,2
10.8,3.6,45,8794,2,796,3,4.6,3445,1515,1185,0
9.2,1,35,27003,2,796,3,4.6,3445,1515,1185,0
0.9,1.4,35,8794,1,1196,4,4.5,3675,1475,1510,0
10.2,1.8,41,34738,2,1197,4,4.8,3845,1735,1335,2
9.7,0.4,47,34738,2,796,3,4.6,3445,1515,1185,0
2.6,0.2,44,27003,2,796,3,4.6,3445,1515,1185,0
7.1,3.8,61,4076,2,1197,4,4.8,3845,1735,1335,2
2.3,4,37,34791,2,1197,4,4.8,3845,1735,1335,2
2.3,2.2,38,7788,2,1197,4,4.8,3845,1735,1335,2
10.4,2.4,39,8794,6,1493,4,5.2,4300,1790,1720,3
4.8,1,43,290,2,1498,4,4.9,3995,1695,1051,4
0.9,3,39,34738,6,1493,4,5.2,4300,1790,1720,3
8.3,0.2,54,8794,2,999,3,5,3731,1579,1155,2
11.5,2.4,47,7788,2,998,3,4.7,3655,1620,1340,2
7.3,1,54,73430,2,796,3,4.6,3445,1515,1185,0
12.3,1.6,52,5410,2,998,3,4.7,3655,1620,1340,2
1.4,1,38,8794,6,1493,4,5.2,4300,1790,1720,3
1.3,1.6,44,27003,2,1197,4,4.8,3845,1735,1335,2
9.4,0,45,8794,6,1493,4,5.2,4300,1790,1720,3
1.5,0.2,56,4076,2,796,3,4.6,3445,1515,1185,0
0.7,0.2,54,6112,2,796,3,4.6,3445,1515,1185,0
1,0.2,42,34738,2,1197,4,4.8,3845,1735,1335,2
9.2,0.6,51,4076,2,796,3,4.6,3445,1515,1185,0
0.9,1,35,34738,2,998,3,4.7,3655,1620,1340,2
0.5,0,39,34791,2,1197,4,4.8,3845,1735,1335,2
10,2.4,52,27003,6,1493,4,5.2,4300,1790,1720,3
10.4,3.4,44,27742,6,1493,4,5.2,4300,1790,1720,3
3.3,0.6,41,290,2,796,3,4.6,3445,1515,1185,0
10.6,2.2,40,8794,2,1498,4,4.9,3995,1695,1051,4
2.5,0.2,41,4076,2,796,3,4.6,3445,1515,1185,0
1,2.8,40,27003,2,1197,4,4.8,3845,1735,1335,2
2.2,0.6,44,73430,2,796,3,4.6,3445,1515,1185,0
4,3.6,66,27003,2,1197,4,4.8,3845,1735,1335,2
9.6,2.6,39,3264,6,1493,4,5.2,4300,1790,1720,3
8.3,1.6,40,27003,6,1197,4,4.85,3990,1745,1410,0
11.3,0.8,40,34791,2,1197,4,4.8,3845,1735,1335,2
2.4,0.6,46,34738,2,796,3,4.6,3445,1515,1185,0
9.7,3.4,46,8794,2,999,3,5,3731,1579,1155,2
1.5,1,36,21622,2,796,3,4.6,3445,1515,1185,0
3.8,0,41,7788,2,1498,4,4.9,3995,1695,1051,4
5.5,0.8,36,17804,2,796,3,4.6,3445,1515,1185,0
11.6,2,44,7788,2,1197,4,4.8,3995,1735,1335,2
11.3,0.6,48,8794,2,796,3,4.6,3445,1515,1185,0
11.9,2.2,42,7788,6,1493,4,5.2,4300,1790,1720,3
9.9,2.2,37,8794,2,1197,4,4.8,3845,1735,1335,2
5.5,0.6,58,7788,2,796,3,4.6,3445,1515,1185,0
1.6,2.4,51,73430,6,1493,4,5.2,4300,1790,1720,3
3.1,1,54,27742,2,796,3,4.6,3445,1515,1185,0
0.4,0.8,52,73430,2,796,3,4.6,3445,1515,1185,0
10.8,1.8,51,7788,2,1197,4,4.8,3845,1735,1335,2
4.8,1.2,52,73430,2,1197,4,4.8,3845,1735,1335,2
2.5,1.6,40,7788,2,1197,4,4.8,3845,1735,1335,2
10.4,3,45,8794,2,1197,4,4.8,3845,1735,1335,2
3,1.8,43,27742,2,796,3,4.6,3445,1515,1185,0
2.2,2.6,41,8794,2,1197,4,4.8,3845,1735,1335,2
0.9,2.8,38,27003,2,1197,4,4.8,3845,1735,1335,2
0.1,1.6,35,7788,2,1197,4,4.8,3845,1735,1335,2
5.8,0,48,27742,6,1493,4,5.2,4300,1790,1720,3
4.9,3,47,5410,6,1493,4,5.2,4300,1790,1720,3
10.2,0.2,52,73430,2,796,3,4.6,3445,1515,1185,0
2.5,4,47,34738,6,1493,4,5.2,4300,1790,1720,3
4.6,0.8,54,4076,2,1197,4,4.8,3845,1735,1335,2
10.7,0.2,37,27003,2,1197,4,4.8,3845,1735,1335,2
2.9,0,43,4076,6,1493,4,5.2,4300,1790,1720,3
8.3,3.2,40,5410,6,1493,4,5.2,4300,1790,1720,3
3.1,1.8,37,34738,6,1493,4,5.2,4300,1790,1720,3
4.9,1.2,37,8794,2,796,3,4.6,3445,1515,1185,0
0.2,0,46,34738,2,1197,4,4.8,3845,1735,1335,2
4.2,0,52,34738,2,796,3,4.6,3445,1515,1185,0
8.2,0.4,40,27003,2,796,3,4.6,3445,1515,1185,0
7.2,1.8,40,27003,2,1197,4,4.8,3995,1735,1335,2
4,0,35,8794,6,1493,4,5.2,4300,1790,1720,3
0.3,0.6,47,34791,2,796,3,4.6,3445,1515,1185,0
11.2,1,45,4990,6,1493,4,5.2,4300,1790,1720,3
1.5,2,37,73430,2,1497,4,5,3990,1755,1490,5
7.3,2.4,54,5410,6,1493,4,5.2,4300,1790,1720,3
9.4,0.2,58,73430,2,796,3,4.6,3445,1515,1185,0
5.2,1,40,34791,2,1197,4,4.8,3845,1735,1335,2
10.5,2.4,58,8794,2,1197,4,4.8,3845,1735,1335,2
12.3,1.4,39,8794,2,1197,4,4.8,3845,1735,1335,2
3.7,0,40,4076,6,1493,4,5.2,4300,1790,1720,3
5.6,0.2,49,4076,2,1197,4,4.8,3845,1735,1335,2
11.1,1.4,39,27742,2,1197,4,4.8,3845,1735,1335,2
9.9,2.8,63,6108,2,1199,3,5.1,3993,1811,1660,5
10.1,0.6,52,8794,6,1493,4,5.2,4300,1790,1720,3
2.7,2,40,27003,6,1493,4,5.2,4300,1790,1720,3
1.7,0.2,40,27003,2,796,3,4.6,3445,1515,1185,0
4.3,2.8,40,8794,2,1197,4,4.8,3845,1735,1335,2
5.1,2.6,43,8794,2,999,3,5,3731,1579,1155,2
5.5,2.2,43,34738,2,998,3,4.7,3655,1620,1340,2
10.2,3,52,6108,2,1197,4,4.8,3845,1735,1335,2
0.8,1.4,40,27003,2,1197,4,4.8,3845,1735,1335,2
1,0.6,35,34738,1,1196,4,4.5,3675,1475,1510,0
0.1,2.4,41,34738,1,1196,4,4.5,3675,1475,1510,0
0.4,0.2,43,8794,2,1197,4,4.8,3845,1735,1335,2
6.3,1.4,48,27003,2,998,3,4.7,3655,1620,1340,2
2.2,1.6,35,27003,2,1197,4,4.8,3845,1735,1335,2
11.7,0.4,56,8794,2,1197,4,4.8,3845,1735,1335,2
5.1,0.4,36,27003,2,998,3,4.7,3655,1620,1340,2
10.5,0,44,4076,2,1197,4,4.8,3845,1735,1335,2
5.1,0.2,41,4076,2,796,3,4.6,3445,1515,1185,0
1.4,2,64,5410,1,1196,4,4.5,3675,1475,1510,0
11.5,1.8,51,16733,6,1493,4,5.2,4300,1790,1720,3
11.4,2.6,50,8794,6,1493,4,5.2,4300,1790,1720,3
11.3,1.6,40,17804,2,998,3,4.7,3655,1620,1340,2
11.7,1.4,57,8794,2,1197,4,4.8,3845,1735,1335,2
6.2,0.6,47,73430,2,796,3,4.6,3445,1515,1185,0
3.9,0.2,36,8794,2,1197,4,4.8,3845,1735,1335,2
5.4,0.4,52,8794,6,1197,4,4.85,3990,1745,1410,0
12.4,1,58,8794,6,1493,4,5.2,4300,1790,1720,3
0.3,0,50,5410,2,1197,4,4.8,3995,1735,1335,2
3.1,0.4,54,34738,2,796,3,4.6,3445,1515,1185,0
10.7,0.4,50,8794,6,1493,4,5.2,4300,1790,1720,3
1.7,3,48,290,6,1493,4,5.2,4300,1790,1720,3
5.4,0.2,39,34738,2,796,3,4.6,3445,1515,1185,0
2.5,0.4,43,4076,2,796,3,4.6,3445,1515,1185,0
6.4,1,40,5410,2,1197,4,4.8,3845,1735,1335,2
2.9,2.8,36,27003,2,1497,4,5,3990,1755,1490,5
0.2,0,60,34738,2,796,3,4.6,3445,1515,1185,0
8.7,0.4,52,5410,2,796,3,4.6,3445,1515,1185,0
0.9,1.4,37,8794,2,1498,4,4.9,3995,1695,1051,4
2.7,2.6,35,27742,2,1498,4,4.9,3995,1695,1051,4
10.7,2,50,13051,2,1197,4,4.8,3845,1735,1335,2
0.9,0.6,41,34738,2,1197,4,4.8,3845,1735,1335,2
4.3,2.2,43,21622,6,1197,4,4.85,3990,1745,1410,0
10.1,0.4,53,34738,2,796,3,4.6,3445,1515,1185,0
10.6,1,40,8794,2,1197,4,4.8,3845,1735,1335,2
4.7,2.2,46,8794,2,1197,4,4.8,3845,1735,1335,2
12,2.8,37,8794,2,1197,4,4.8,3845,1735,1335,2
8.7,0.4,56,34738,2,796,3,4.6,3445,1515,1185,0
11.5,1.8,39,6108,2,998,3,4.7,3655,1620,1340,2
4.8,0,36,34738,2,1197,4,4.8,3845,1735,1335,2
6.5,0,48,7788,2,1197,4,4.8,3845,1735,1335,2
11.1,1.6,64,34791,6,1197,4,4.85,3990,1745,1410,0
5.9,0,53,73430,2,796,3,4.6,3445,1515,1185,0
2.4,0.4,62,73430,6,1493,4,5.2,4300,1790,1720,3
9.4,2.2,53,27003,2,1199,3,5.1,3993,1811,1660,5
10.3,0.8,37,27003,6,1493,4,5.2,4300,1790,1720,3
5.5,2.4,58,8794,6,1493,4,5.2,4300,1790,1720,3
1.9,0,49,5410,2,998,3,4.7,3655,1620,1340,2
0.4,0,44,27003,1,1196,4,4.5,3675,1475,1510,0
4.4,0.2,43,5410,6,1493,4,5.2,4300,1790,1720,3
3.1,2.6,38,27003,2,1197,4,4.8,3995,1735,1335,2
3.8,1.8,38,65567,2,998,3,4.7,3655,1620,1340,2
11.1,2.2,47,27003,6,1493,4,5.2,4300,1790,1720,3
10.7,0.6,50,8794,1,1196,4,4.5,3675,1475,1510,0
7.9,2,47,8794,2,1197,4,4.8,3845,1735,1335,2
10.9,0.6,65,8794,2,1197,4,4.8,3845,1735,1335,2
3.2,2,35,4990,2,1197,4,4.8,3845,1735,1335,2
4.6,0,52,4990,6,1493,4,5.2,4300,1790,1720,3
10,1.8,47,34738,6,1493,4,5.2,4300,1790,1720,3
8.5,2.2,40,8794,2,796,3,4.6,3445,1515,1185,0
11.7,1.6,61,8794,6,1493,4,5.2,4300,1790,1720,3
1,3,44,8794,6,1197,4,4.85,3990,1745,1410,0
4.7,1.6,40,34738,6,1197,4,4.85,3990,1745,1410,0
7.2,0.4,45,17804,2,796,3,4.6,3445,1515,1185,0
5.8,2.4,38,13051,2,1197,4,4.8,3845,1735,1335,2
11.2,3.8,41,4076,6,1493,4,5.2,4300,1790,1720,3
4,1.6,47,5410,6,1493,4,5.2,4300,1790,1720,3
5.9,0,53,290,2,1197,4,4.8,3845,1735,1335,2
12.3,0.6,51,7788,6,1493,4,5.2,4300,1790,1720,3
2,3.4,36,8794,2,998,3,4.7,3655,1620,1340,2
10.3,2.6,37,27003,6,1493,4,5.2,4300,1790,1720,3
8.4,0.2,45,27003,2,796,3,4.6,3445,1515,1185,0
9.4,0.2,52,34738,2,796,3,4.6,3445,1515,1185,0
11.7,1.8,48,3264,2,796,3,4.6,3445,1515,1185,0
5.5,2.8,61,27003,2,1197,4,4.8,3845,1735,1335,2
1.7,0,39,6112,2,796,3,4.6,3445,1515,1185,0
9.1,1.6,41,4076,2,1497,4,5,3990,1755,1490,5
11.4,0.2,52,7788,2,1197,4,4.8,3845,1735,1335,2
10,1.8,54,8794,2,999,3,5,3731,1579,1155,2
0.9,0,45,290,1,1196,4,4.5,3675,1475,1510,0
0.9,1.4,41,8794,2,796,3,4.6,3445,1515,1185,0
7.3,4.2,39,73430,6,1493,4,5.2,4300,1790,1720,3
11.2,2.2,47,6112,2,1197,4,4.8,3995,1735,1335,2
3.4,1.2,36,27003,6,1493,4,5.2,4300,1790,1720,3
10.3,1.2,40,4076,6,1493,4,5.2,4300,1790,1720,3
11.1,0.6,49,34738,2,796,3,4.6,3445,1515,1185,0
11.1,2,39,34738,6,1197,4,4.85,3990,1745,1410,0
1.6,2.4,38,8794,2,1197,4,4.8,3845,1735,1335,2
5.8,2.2,49,27003,6,1197,4,4.85,3990,1745,1410,0
7.1,0,47,4076,2,796,3,4.6,3445,1515,1185,0
12.1,2,42,13051,6,1493,4,5.2,4300,1790,1720,3
1.9,2.8,36,6108,6,1197,4,4.85,3990,1745,1410,0
2.4,1.8,39,5410,2,1197,4,4.8,3845,1735,1335,2
5.8,1,46,17804,2,999,3,5,3731,1579,1155,2
1.4,1,51,34738,2,796,3,4.6,3445,1515,1185,0
10.1,2.2,54,8794,6,1493,4,5.2,4300,1790,1720,3
1,1,41,73430,2,796,3,4.6,3445,1515,1185,0
8.3,3,53,8794,6,1493,4,5.2,4300,1790,1720,3
3.8,0.2,41,34738,2,796,3,4.6,3445,1515,1185,0
10.5,1.2,50,34738,2,796,3,4.6,3445,1515,1185,0
0.5,2.8,48,7788,2,1498,4,4.9,3995,1695,1051,4
7.8,3,41,8794,6,1493,4,5.2,4300,1790,1720,3
10.2,0.2,44,8794,2,1197,4,4.8,3845,1735,1335,2
2.2,1.2,58,27742,2,796,3,4.6,3445,1515,1185,0
5.9,1.4,35,8794,2,998,3,4.7,3655,1620,1340,2
3.6,3,38,34791,6,1493,4,5.2,4300,1790,1720,3
10.5,0,40,17804,6,1197,4,4.85,3990,1745,1410,0
10.2,2.8,38,27003,6,1493,4,5.2,4300,1790,1720,3
4.9,2.4,37,73430,2,1197,4,4.8,3995,1735,1335,2
10.5,1.2,37,8794,2,1197,4,4.8,3995,1735,1335,2
11.1,1.4,60,8794,1,1196,4,4.5,3675,1475,1510,0
8,2.6,53,8794,2,1497,4,5,3990,1755,1490,5
11.3,1.2,48,7788,2,1197,4,4.8,3845,1735,1335,2
10.3,2.2,35,27003,6,1493,4,5.2,4300,1790,1720,3
10.7,1.6,54,5410,2,796,3,4.6,3445,1515,1185,0
2.6,0,46,4076,2,796,3,4.6,3445,1515,1185,0
1.6,0,35,34738,2,796,3,4.6,3445,1515,1185,0
3,2.6,41,8794,2,1197,4,4.8,3845,1735,1335,2
5.3,0.4,43,17804,2,796,3,4.6,3445,1515,1185,0
8.1,2,45,34738,6,1493,4,5.2,4300,1790,1720,3
11.6,0.6,69,8794,2,1197,4,4.8,3845,1735,1335,2
3.5,2.2,49,8794,2,796,3,4.6,3445,1515,1185,0
1.5,1.2,37,4076,6,1493,4,5.2,4300,1790,1720,3
11.5,3,49,8794,6,1493,4,5.2,4300,1790,1720,3
3.6,2,54,4990,2,1197,4,4.8,3845,1735,1335,2
5.8,0.4,52,4076,2,796,3,4.6,3445,1515,1185,0
10.5,3.2,49,27003,6,1493,4,5.2,4300,1790,1720,3
7.1,0.4,58,8794,6,1493,4,5.2,4300,1790,1720,3
11,0.2,60,8794,2,1197,4,4.8,3845,1735,1335,2
11.8,0.6,36,7788,2,999,3,5,3731,1579,1155,2
3.7,1.2,39,8794,2,1197,4,4.8,3845,1735,1335,2
0.8,2.2,38,8794,2,1497,4,5,3990,1755,1490,5
1.3,0.8,37,73430,2,1197,4,4.8,3845,1735,1335,2
9.1,2.2,36,27003,2,1197,4,4.8,3845,1735,1335,2
8,3.2,44,6112,6,1493,4,5.2,4300,1790,1720,3
10.9,1.8,43,8794,2,1197,4,4.8,3845,1735,1335,2
8.6,0.4,56,65567,2,796,3,4.6,3445,1515,1185,0
10.9,3,43,6108,6,1493,4,5.2,4300,1790,1720,3
10.9,2.8,49,34791,6,1493,4,5.2,4300,1790,1720,3
2.1,0.4,37,17804,2,796,3,4.6,3445,1515,1185,0
3.7,0.4,44,4076,2,796,3,4.6,3445,1515,1185,0
6.8,2.8,35,7788,2,998,3,4.7,3655,1620,1340,2
2.4,0.6,37,6112,2,796,3,4.6,3445,1515,1185,0
4.4,0.8,53,6112,2,999,3,5,3731,1579,1155,2
5.8,1.4,50,17804,2,1498,4,4.9,3995,1695,1051,4
10.2,1.2,48,8794,6,1493,4,5.2,4300,1790,1720,3
0.1,0.6,62,34791,2,1197,4,4.8,3845,1735,1335,2
0.8,3.6,40,5410,6,1493,4,5.2,4300,1790,1720,3
9.3,1.2,43,34738,2,998,3,4.7,3655,1620,1340,2
3.3,1.2,40,27003,2,998,3,4.7,3655,1620,1340,2
7.8,0.4,48,34738,2,796,3,4.6,3445,1515,1185,0
0.9,1.4,36,27003,1,1196,4,4.5,3675,1475,1510,0
0.9,1.6,39,73430,2,1497,4,5,3990,1755,1490,5
10.9,2.8,48,34791,6,1493,4,5.2,4300,1790,1720,3
3.5,0.8,49,27003,2,796,3,4.6,3445,1515,1185,0
12.3,0.8,45,34791,2,1197,4,4.8,3845,1735,1335,2
4.7,2,50,6108,2,998,3,4.7,3655,1620,1340,2
0.9,2,35,6112,6,1493,4,5.2,4300,1790,1720,3
6.3,3,45,34791,2,1498,4,4.9,3995,1695,1051,4
9.3,3.2,40,17804,6,1493,4,5.2,4300,1790,1720,3
11.7,1.6,51,8794,2,1498,4,4.9,3995,1695,1051,4
5.4,2.4,41,34738,2,998,3,4.7,3655,1620,1340,2
1.8,2.4,40,6108,6,1197,4,4.85,3990,1745,1410,0
12.2,2.2,40,4990,2,1197,4,4.8,3995,1735,1335,2
5.6,1,46,6112,2,796,3,4.6,3445,1515,1185,0
3.1,1.4,52,27742,2,1197,4,4.8,3845,1735,1335,2
11.4,2.8,61,8794,2,1197,4,4.8,3845,1735,1335,2
11.2,1.4,62,7788,2,1197,4,4.8,3845,1735,1335,2
6.8,1.4,43,34738,2,1197,4,4.8,3845,1735,1335,2
12.5,0.6,53,34738,2,796,3,4.6,3445,1515,1185,0
0.9,1,50,34738,2,1498,4,4.9,3995,1695,1051,4
5.4,0,45,6112,2,796,3,4.6,3445,1515,1185,0
0.3,0.4,37,34738,2,796,3,4.6,3445,1515,1185,0
1.3,3,45,34738,2,1197,4,4.8,3845,1735,1335,2
0.9,3.8,47,27003,6,1197,4,4.85,3990,1745,1410,0
11.6,0.8,59,6108,1,1196,4,4.5,3675,1475,1510,0
0.1,0.6,39,27003,2,796,3,4.6,3445,1515,1185,0
9.1,2.2,52,8794,2,1498,4,4.9,3995,1695,1051,4
2.3,0.2,46,4076,2,796,3,4.6,3445,1515,1185,0
11.4,1.4,59,8794,2,1197,4,4.8,3845,1735,1335,2
12,1.6,49,27003,2,1197,4,4.8,3845,1735,1335,2
7.7,0.2,38,34738,6,1493,4,5.2,4300,1790,1720,3
0.9,3.2,42,5410,6,1493,4,5.2,4300,1790,1720,3
12.2,3,44,34738,6,1197,4,4.85,3990,1745,1410,0
3.2,0.8,36,27003,2,1197,4,4.8,3845,1735,1335,2
12.5,1.2,54,8794,6,1493,4,5.2,4300,1790,1720,3
3.9,2.6,45,8794,6,1493,4,5.2,4300,1790,1720,3
4.8,0.2,47,34738,2,796,3,4.6,3445,1515,1185,0
5.7,0.2,35,4076,2,796,3,4.6,3445,1515,1185,0
6,1.4,40,6112,2,796,3,4.6,3445,1515,1185,0
1,0,45,34738,2,796,3,4.6,3445,1515,1185,0
5.7,0.2,36,34738,2,999,3,5,3731,1579,1155,2
0.3,0.4,47,4076,2,796,3,4.6,3445,1515,1185,0
0.3,0.2,56,73430,2,796,3,4.6,3445,1515,1185,0
0.5,0.4,48,27003,2,796,3,4.6,3445,1515,1185,0
8.9,1.2,50,8794,6,1197,4,4.85,3990,1745,1410,0
10.6,2.2,36,7788,2,1498,4,4.9,3995,1695,1051,4
2.6,1,37,8794,2,999,3,5,3731,1579,1155,2
7,2,56,8794,2,1199,3,5.1,3993,1811,1660,5
